dist loss
-10.0 2.5294349670410154
-9.0 2.4716053009033203
-8.0 2.3496755599975585
-7.0 2.097159004211426
-6.0 1.6470365524291992
-5.0 1.0561503410339355
-4.0 0.6324567794799805
-3.0 0.4477879047393799
-2.0 0.37438938617706297
-1.0 0.34346733093261717
0.0 0.3355025053024292
1.0 0.34434654712677004
2.0 0.37713983058929446
3.0 0.5027546882629395
4.0 1.0086743354797363
5.0 1.8821134567260742
6.0 2.4818740844726563
7.0 2.6863229751586912
8.0 2.7506740570068358
9.0 2.7458332061767576
10.0 2.731772804260254
