dist loss
-10.0 2.320305824279785
-9.0 2.1922418594360353
-8.0 1.9826295852661133
-7.0 1.6252634048461914
-6.0 1.1715801239013672
-5.0 0.7884892463684082
-4.0 0.5731225967407226
-3.0 0.48313751220703127
-2.0 0.43962764739990234
-1.0 0.42098226547241213
0.0 0.41469416618347166
1.0 0.4233956813812256
2.0 0.4490711212158203
3.0 0.5341326236724854
4.0 0.7929410934448242
5.0 1.3258578300476074
6.0 1.9947107315063477
7.0 2.401676559448242
8.0 2.5652612686157226
9.0 2.628505516052246
10.0 2.644749641418457
