dist loss
-10.0 0.7048353112262228
-9.0 0.6301531779491688
-8.0 0.559491169727062
-7.0 0.514632515285326
-6.0 0.48516873020650175
-5.0 0.4668096361867607
-4.0 0.4633385543628117
-3.0 0.4544404949373601
-2.0 0.45612598624070894
-1.0 0.44884922193444293
0.0 0.44710066617297395
1.0 0.44895295048003914
2.0 0.44199845492077605
3.0 0.448892071423933
4.0 0.4567638504535646
5.0 0.4598666920381434
6.0 0.4800282744190577
7.0 0.5115042293772978
8.0 0.5737879136029411
9.0 0.6794147930486732
10.0 0.8383774232986333
