dist loss
-10.0 0.6858266845078724
-9.0 0.609663160865569
-8.0 0.5492283657688619
-7.0 0.5059087806955322
-6.0 0.48134197420476343
-5.0 0.4659896421310542
-4.0 0.46065679291630035
-3.0 0.45374760542379317
-2.0 0.4519915958804548
-1.0 0.4476818270085718
0.0 0.44384207566985695
1.0 0.4470478652993127
2.0 0.44184957440856776
3.0 0.4433135986328125
4.0 0.45775075458809544
5.0 0.4593699813803748
6.0 0.48203232709099264
7.0 0.51502596569793
8.0 0.5782055086491967
9.0 0.677594197070812
10.0 0.8291741490668958
